'Time','VidTime','Raw Value','Blink','Mark'
2019/10/22 10:45:04.791,07:00:00.791,44,0,0
2019/10/22 10:45:04.792,07:00:00.792,34,0,0
2019/10/22 10:45:04.794,07:00:00.794,48,0,0
2019/10/22 10:45:04.796,07:00:00.796,84,0,0
2019/10/22 10:45:04.798,07:00:00.798,-127,0,0
2019/10/22 10:45:04.800,07:00:00.800,-102,0,0
2019/10/22 10:45:04.802,07:00:00.802,-106,0,0
2019/10/22 10:45:04.804,07:00:00.804,-122,0,0
2019/10/22 10:45:04.806,07:00:00.806,-103,0,0
2019/10/22 10:45:04.808,07:00:00.808,-54,0,0
2019/10/22 10:45:04.810,07:00:00.810,-37,0,0
2019/10/22 10:45:04.812,07:00:00.812,-67,0,0
2019/10/22 10:45:04.814,07:00:00.814,-103,0,0
2019/10/22 10:45:04.816,07:00:00.816,125,0,0
2019/10/22 10:45:04.818,07:00:00.818,115,0,0
2019/10/22 10:45:04.820,07:00:00.820,88,0,0
2019/10/22 10:45:04.822,07:00:00.822,40,0,0
2019/10/22 10:45:04.824,07:00:00.824,-1,0,0
2019/10/22 10:45:04.826,07:00:00.826,5,0,0
2019/10/22 10:45:04.828,07:00:00.828,45,0,0
2019/10/22 10:45:04.830,07:00:00.830,81,0,0
2019/10/22 10:45:04.832,07:00:00.832,81,0,0
2019/10/22 10:45:04.833,07:00:00.833,40,0,0
2019/10/22 10:45:04.835,07:00:00.835,17,0,0
2019/10/22 10:45:04.837,07:00:00.837,39,0,0
2019/10/22 10:45:04.839,07:00:00.839,72,0,0
2019/10/22 10:45:04.841,07:00:00.841,65,0,0
2019/10/22 10:45:04.843,07:00:00.843,42,0,0
2019/10/22 10:45:04.845,07:00:00.845,52,0,0
2019/10/22 10:45:04.847,07:00:00.847,59,0,0
2019/10/22 10:45:04.849,07:00:00.849,50,0,0
2019/10/22 10:45:04.851,07:00:00.851,21,0,0
2019/10/22 10:45:04.853,07:00:00.853,-9,0,0
2019/10/22 10:45:04.855,07:00:00.855,-17,0,0
2019/10/22 10:45:04.857,07:00:00.857,0,0,0
2019/10/22 10:45:04.859,07:00:00.859,5,0,0
2019/10/22 10:45:04.861,07:00:00.861,-11,0,0
2019/10/22 10:45:04.863,07:00:00.863,-44,0,0
2019/10/22 10:45:04.865,07:00:00.865,-60,0,0
2019/10/22 10:45:04.867,07:00:00.867,-49,0,0
2019/10/22 10:45:04.869,07:00:00.869,-20,0,0
2019/10/22 10:45:04.871,07:00:00.871,-11,0,0
2019/10/22 10:45:04.873,07:00:00.873,-12,0,0
2019/10/22 10:45:04.875,07:00:00.875,-12,0,0
2019/10/22 10:45:04.876,07:00:00.876,-20,0,0
2019/10/22 10:45:04.878,07:00:00.878,-7,0,0
2019/10/22 10:45:04.880,07:00:00.880,3,0,0
2019/10/22 10:45:04.882,07:00:00.882,2,0,0
2019/10/22 10:45:04.884,07:00:00.884,8,0,0
2019/10/22 10:45:04.886,07:00:00.886,10,0,0
2019/10/22 10:45:04.888,07:00:00.888,-8,0,0
2019/10/22 10:45:04.890,07:00:00.890,-59,0,0
2019/10/22 10:45:04.892,07:00:00.892,-101,0,0
2019/10/22 10:45:04.894,07:00:00.894,-77,0,0
2019/10/22 10:45:04.896,07:00:00.896,-34,0,0
2019/10/22 10:45:04.898,07:00:00.898,-18,0,0
2019/10/22 10:45:04.900,07:00:00.900,-33,0,0
2019/10/22 10:45:04.902,07:00:00.902,-66,0,0
2019/10/22 10:45:04.904,07:00:00.904,-69,0,0
2019/10/22 10:45:04.906,07:00:00.906,-41,0,0
2019/10/22 10:45:04.908,07:00:00.908,2,0,0
2019/10/22 10:45:04.910,07:00:00.910,40,0,0
2019/10/22 10:45:04.912,07:00:00.912,42,0,0
2019/10/22 10:45:04.914,07:00:00.914,21,0,0
2019/10/22 10:45:04.916,07:00:00.916,16,0,0
2019/10/22 10:45:04.917,07:00:00.917,34,0,0
2019/10/22 10:45:04.919,07:00:00.919,38,0,0
2019/10/22 10:45:04.921,07:00:00.921,20,0,0
2019/10/22 10:45:04.923,07:00:00.923,1,0,0
