Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,
46:58.0,00:00.0,0,7,0,0,0,95755,15728,1753,6624,6764,7947,2371,1996,,
46:59.0,00:00.0,0,7,0,0,0,111978,108629,31004,13017,61711,34178,11901,5864,,
47:00.0,00:00.0,0,7,0,0,0,11380,13223,23491,11757,25489,36048,14782,6992,,
47:01.0,00:00.0,0,7,0,0,0,304953,60270,9363,4771,29329,41655,14937,8216,,
47:02.0,00:00.0,0,7,0,0,0,534528,75166,79060,62474,33151,98492,14206,5233,,
47:03.0,00:00.0,0,7,0,0,0,306464,153387,65734,18086,25781,49162,9341,3555,,
47:04.0,00:00.0,0,7,0,0,0,1420505,67119,1826,3368,13647,10349,12722,1122,,
47:05.0,00:00.0,0,7,0,0,0,90910,23339,5194,13248,7156,3292,5421,1329,,
47:06.0,00:00.0,0,7,0,0,0,167549,28099,66236,37096,20053,39855,5385,6653,,
47:07.0,00:00.0,0,7,0,0,0,1325762,145835,80490,32650,11668,27923,16220,4457,,
47:08.0,00:00.0,0,7,0,0,0,36226,57043,5824,9059,34185,33566,14661,5441,,
47:09.0,00:00.0,0,7,0,0,0,70234,86643,56589,19370,14972,44478,11644,8154,,
47:10.0,00:00.0,0,7,0,0,0,621187,105399,3855,8797,15487,33810,19249,10042,,
47:11.0,00:00.0,0,7,0,0,0,588799,66568,18025,36771,25881,28730,22099,18235,,
47:12.0,00:00.0,0,7,0,0,0,969940,29569,11542,7709,6102,8082,6324,1017,,
47:13.0,00:00.0,0,7,0,0,0,124055,11288,2193,2903,2790,2453,2751,361,,
47:14.0,00:00.0,0,7,0,0,0,843336,159635,21957,16693,31835,33798,20018,13316,,
47:15.0,00:00.0,0,7,0,0,0,218286,80276,46441,19970,26619,27142,10123,7646,,
47:16.0,00:00.0,0,7,0,0,0,381207,123203,86510,26477,50112,43867,22705,11194,,
47:17.0,00:00.0,0,7,0,0,0,1501046,1425812,31962,171347,160062,78296,38917,6477,,
47:18.0,00:00.0,74,7,0,0,0,1092189,1620326,256385,127253,251449,189413,131575,180986,,
47:19.0,00:00.0,60,7,0,0,0,690073,26504,7773,5233,2108,1421,524,282,,
47:20.0,00:00.0,73,7,0,0,0,1,0,0,0,0,1,1,1,,
47:21.0,00:00.0,73,7,0,0,0,1090,453,97,39,36,13,2,4,,
