Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
58:08.0,00:00.0,100,2,75,61,68,30645,6251,4312,10070,14853,20861,2825,1479,,,,,
58:09.0,00:00.0,100,2,93,54,73,8153,25980,3104,3931,10778,21247,6797,3810,,,,,
58:10.0,00:00.0,100,2,97,56,76,4522,22015,17113,14645,7918,19067,8255,2964,,,,,
58:11.0,00:00.0,100,2,100,53,76,102736,58893,45730,23578,16962,63888,22156,4081,,,,,
58:12.0,00:00.0,100,2,83,63,73,1109757,68030,110817,18573,26868,22591,24911,17702,,,,,
58:13.0,00:00.0,100,2,78,70,74,651438,134055,48468,9879,21247,57615,8772,4637,,,,,
58:14.0,00:00.0,100,2,63,57,60,957267,63026,1367,9997,3092,6745,4310,1431,,,,,
58:15.0,00:00.0,100,2,66,57,61,25230,9844,7590,10064,10528,17369,7367,10993,,,,,
58:16.0,00:00.0,100,2,78,43,60,18216,40548,12252,2472,16543,20497,12584,3653,,,,,
58:17.0,00:00.0,100,2,81,56,68,14312,15116,66094,11357,9158,35597,5505,7057,,,,,
58:18.0,00:00.0,100,2,100,54,77,4875,36277,3341,8352,14438,27332,8369,3245,,,,,
58:19.0,00:00.0,100,2,97,56,76,1003,7651,18889,19257,35565,25554,4668,2440,,,,,
58:20.0,00:00.0,100,2,87,66,76,681202,75935,34570,52392,30321,17589,28215,7130,,,,,
58:21.0,00:00.0,100,2,66,57,61,1430843,267567,80749,52228,18763,21463,21165,13826,,,,,
58:22.0,00:00.0,100,2,53,63,58,1056695,75988,33195,6892,36140,20686,13596,4940,,,,,
58:23.0,00:00.0,100,2,23,57,40,226863,54868,12853,2846,2902,1676,4933,5656,,,,,
58:24.0,00:00.0,100,2,23,43,33,121233,36401,1568,4521,3633,4834,3477,1378,,,,,
58:25.0,00:00.0,100,2,21,37,29,946509,97945,10601,12443,10666,6057,5746,6362,,,,,
58:26.0,00:00.0,100,2,26,35,30,526311,23675,2450,5076,7164,8487,4770,2578,,,,,
58:27.0,00:00.0,100,2,57,41,49,355230,24327,41813,16322,24982,49385,6411,14401,,,,,
58:28.0,00:00.0,100,2,64,44,54,500585,41382,11374,4039,27759,12144,14420,5101,,,,,
58:29.0,00:00.0,100,2,81,53,67,24593,7713,18740,9739,28393,10155,5892,3656,,,,,
58:30.0,00:00.0,100,2,83,66,74,20069,36758,37121,41415,15131,41650,17051,4571,,,,,
58:31.0,00:00.0,100,2,67,66,66,219724,57335,35973,24097,19080,15097,13374,9802,,,,,
58:32.0,00:00.0,100,2,70,77,73,152910,77856,108723,65221,71614,80884,24499,10021,,,,,
58:33.0,00:00.0,100,2,66,75,70,44932,37029,23432,18711,25641,14312,12350,2867,,,,,
58:34.0,00:00.0,100,2,64,70,67,47779,23962,15641,15635,21537,15236,5956,2683,,,,,
58:35.0,00:00.0,100,2,67,64,65,253004,75421,14677,27321,27708,22210,5547,4725,,,,,
58:36.0,00:00.0,100,2,69,56,62,261812,19720,8294,3351,8499,12009,866,1921,,,,,
58:37.0,00:00.0,100,2,81,54,67,9266,1479,2335,12734,22663,9479,8754,2338,,,,,
58:38.0,00:00.0,100,2,75,63,69,43880,36932,52200,20041,5913,15621,9273,2534,,,,,
58:39.0,00:00.0,100,2,69,66,67,184831,29714,6708,15773,6599,4694,8998,1055,,,,,
58:40.0,00:00.0,100,2,63,75,69,37162,33287,28850,30266,33890,16811,3842,3200,,,,,
58:41.0,00:00.0,100,2,48,61,54,443270,198528,8028,17073,27675,24943,22203,10315,,,,,
58:42.0,00:00.0,100,2,43,48,45,650445,76991,17218,16607,18939,11566,11311,3295,,,,,
58:43.0,00:00.0,100,2,53,51,52,79286,7822,2055,6651,1878,4481,1420,1379,,,,,
58:44.0,00:00.0,100,2,61,41,51,16691,24871,1145,13723,19635,15907,13982,2921,,,,,
58:45.0,00:00.0,100,2,75,48,61,6766,22192,4129,5219,12714,15271,17086,10669,,,,,
58:46.0,00:00.0,100,2,88,56,72,18355,20884,9261,40653,8388,26429,4160,5132,,,,,
58:47.0,00:00.0,100,2,88,56,72,77599,8376,4282,6192,4324,5525,2975,1051,,,,,
58:48.0,00:00.0,100,2,93,61,77,21442,13803,30560,10139,28091,32781,6772,1943,,,,,
58:49.0,00:00.0,100,2,88,66,77,18987,30057,19408,8586,41335,17084,9108,5685,,,,,
58:50.0,00:00.0,100,2,87,61,74,4975,33328,15689,20544,10550,23726,6224,3583,,,,,
58:51.0,00:00.0,100,2,90,63,76,25840,25997,4937,33574,8450,23601,7589,8725,,,,,
58:52.0,00:00.0,100,2,74,70,72,54041,29617,23514,50007,13577,13170,5518,2301,,,,,
58:53.0,00:00.0,100,2,67,75,71,14493,49994,42500,5623,26450,18072,8625,4286,,,,,
58:54.0,00:00.0,100,2,60,77,68,126448,43007,28114,15660,17732,10743,4135,3412,,,,,
58:55.0,00:00.0,100,2,57,81,69,15506,7642,19072,34930,20010,19692,6301,4407,,,,,
58:56.0,00:00.0,100,2,66,69,67,119004,13197,2426,4605,3065,6093,1965,1841,,,,,
58:57.0,00:00.0,100,2,77,69,73,19091,19018,16330,19204,23878,28032,11685,2986,,,,,
58:58.0,00:00.0,100,2,88,70,79,3463,10734,16632,16866,18819,17405,6773,2733,,,,,
58:59.0,00:00.0,100,2,94,64,79,90239,17305,21087,25711,24084,35718,4159,958,,,,,
59:00.0,00:00.0,100,2,80,54,67,63020,117456,9390,5872,7262,9791,8917,8148,,,,,
59:01.0,00:00.0,100,2,75,56,65,68441,49305,28284,21623,5470,32452,8911,4572,,,,,
59:02.0,00:00.0,100,2,60,43,51,157887,81215,8225,10212,18853,9329,6125,3141,,,,,
59:03.0,00:00.0,100,2,63,34,48,60270,22906,4990,5576,6033,26819,18267,4403,,,,,
59:04.0,00:00.0,100,2,75,43,59,34094,46628,7563,18117,26739,14062,6447,4597,,,,,
59:05.0,00:00.0,100,2,75,40,57,19011,19985,22799,21004,60879,24215,3165,4231,,,,,
59:06.0,00:00.0,100,2,75,50,62,1259649,64952,19786,27632,22773,10534,3669,1744,,,,,
59:07.0,00:00.0,100,2,63,56,59,53027,56952,6437,29274,5449,20482,6273,1957,,,,,
59:08.0,00:00.0,100,2,56,53,54,32934,50650,7381,10978,16176,7455,2619,3689,,,,,
59:09.0,00:00.0,100,2,54,56,55,23723,16328,5212,18080,14769,11210,4231,1611,,,,,
59:10.0,00:00.0,100,2,51,51,51,725004,201408,68401,5005,20139,21618,7805,4291,,,,,
59:11.0,00:00.0,100,2,44,54,49,144228,111828,86922,23143,40512,27110,8282,12128,,,,,
59:12.0,00:00.0,100,2,47,57,52,144024,60954,11856,15864,14827,9768,7392,5259,,,,,
59:13.0,00:00.0,100,2,43,60,51,26998,54024,48535,20151,28662,26537,6347,5258,,,,,
59:14.0,00:00.0,100,2,43,60,51,251499,203040,54658,18969,23715,22441,12296,5440,,,,,
59:15.0,00:00.0,100,2,56,54,55,1635372,33931,12103,22738,29770,30593,4756,3966,,,,,
59:16.0,00:00.0,100,2,67,57,62,35251,19245,23478,12098,30032,19516,5581,1751,,,,,
59:17.0,00:00.0,100,2,63,61,62,36898,55278,37272,59062,28456,20532,13757,5284,,,,,
59:18.0,00:00.0,100,2,77,67,72,7237,19772,19285,11584,22813,13877,11821,2027,,,,,
59:19.0,00:00.0,100,2,70,63,66,114923,11465,918,4172,4653,4870,436,741,,,,,
59:20.0,00:00.0,100,2,75,67,71,85674,8049,11900,3482,2480,10453,1256,250,,,,,
59:21.0,00:00.0,100,2,75,67,71,166089,36720,22442,30070,5400,11388,3648,1982,,,,,
59:22.0,00:00.0,100,2,74,64,69,4668,33536,12311,16473,16629,16243,6099,1353,,,,,
59:23.0,00:00.0,100,2,69,83,76,244877,32085,126850,1975,13747,28666,2787,1919,,,,,
59:24.0,00:00.0,100,2,61,75,68,52445,53674,18158,5124,11510,14740,5005,1486,,,,,
59:25.0,00:00.0,100,2,61,70,65,21123,35302,19579,23054,16272,11877,6101,1682,,,,,
59:26.0,00:00.0,100,2,57,77,67,14894,34156,13061,30868,6484,12848,2929,2212,,,,,
59:27.0,00:00.0,100,2,63,67,65,22275,15037,9896,24245,23044,16159,6200,2280,,,,,
