'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,,
16:33.0,00:00.0,100,2,38,48,43,2205523,220471,31723,45228,20831,39200,11811,4168,,,,,,
16:34.0,00:00.0,87,5,38,48,43,401691,342779,150355,33938,80477,65673,22283,3177,,,,,,
16:35.0,00:00.0,87,5,38,48,43,118919,274676,48787,36401,67102,43802,14554,1657,,,,,,
16:36.0,00:00.0,74,5,38,48,43,700390,415835,38439,33171,104647,155541,81976,27767,,,,,,
16:37.0,00:00.0,74,5,38,48,43,881417,26744,868,9241,12764,9384,977,205,,,,,,
16:38.0,00:00.0,87,5,38,48,43,570869,9206,6805,3407,959,1765,1276,418,,,,,,
16:39.0,00:00.0,100,5,40,48,44,453005,41261,7439,3963,8619,2013,1284,615,,,,,,
16:40.0,00:00.0,100,1,43,40,41,2054170,154339,34136,26494,9533,29395,5428,1595,,,,,,
16:41.0,00:00.0,100,3,44,48,46,1404615,233908,90378,147209,144608,51716,10982,9781,,,,,,
16:42.0,00:00.0,87,4,44,48,46,711761,8954,3299,3121,2054,3601,630,158,,,,,,
